num-reruns,50
num-samples,5
dimension,2
data,-0.2725751171345087,-0.19771417421499757,-0.328001879132258,-0.11601448597811845,0.1364574224948174,-0.0025693965520026674,0.09664889070913091,0.12249732353978784,0.10160236334146996,0.03662673625335382,0.1422872807700926,-0.04870436321245583,0.6260623625681714,-0.06577240429643935,0.06699446479077462,0.026523116957440918,0.6100490358856822,0.029373049937302907,0.6953014747815492,0.11430822737293402,-0.4517585562278988,-0.3090052081055139,-0.3023395290431785,-0.16861800188540907,-0.18881901798757728,-0.23473776664976181,0.6537027796054068,0.04576895462934311,0.04985136242972199,-0.005665045171041508,0.17225857083036497,0.08890497726632698,-0.32916322038019236,-0.13426414348898785,0.11669660099782386,0.23877311453886066,0.05838182855384339,0.0764941763193876,-0.3071518773214559,-0.24439432221716265,-0.05996450186270247,0.14335837614014724,0.26388587666437086,0.07870380256495776,0.6483067967188553,-0.021637729064748097,0.6531338887676991,-0.17663643333176376,0.14911596703809848,0.2463121764530415,0.0527546323347683,0.2311006636208209,-0.26465361199275617,-0.12122874058171178,-0.34180516667814176,-0.09997275693318551,0.7058327609290762,0.035503485691336684,-0.27286995404529774,-0.1717625900285379,0.6931892891159266,0.00743682904581412,-0.0531474754275241,0.21452516886692624,-0.25176043878862187,-0.12912447678231193,0.712862133105777,0.02922908446905318,0.14455482957981267,0.2548140126883599,0.6825772092258152,-0.04661543174253758,0.1859267439630205,0.08285223494093158,-0.2612356829822475,-0.24685478247711357,-0.2872127735065597,-0.18954371361798752,-0.2957173251691068,-0.2657077096868797,0.6117571622474779,0.08583248246181507,0.726496938796824,-0.04244021043676484,0.09135192619378102,0.11900751294204143,-0.31625719977700334,-0.23758281233546774,0.713612346104776,-0.042888653247671764,-0.47354384318191867,-0.144227518329527,-0.21661072035122925,-0.28351186619834357,0.5845495733143409,-0.014205211046815895,0.10128879408122138,0.09403510920507295,0.1006947813913632,0.1658174803032113,0.06186846520684988,0.17287002363837833,-0.01393421499152081,2.388406513759156E-6,0.1853808718804489,0.07307289836429037,-0.21212445855876272,-0.25300387613268727,0.16862830271611762,0.18510442017557688,-0.2949170764400163,-0.22000987468274794,-0.2750874489419881,-0.2751344492553107,0.1575255918906528,0.19408543298026076,0.534086832859623,0.10136840582386424,0.6031147897923004,-0.06172938356818662,0.12569391340330172,-0.11256584755677032,0.1945228125923087,0.17766309578165018,-0.23997931000537667,-0.21317223887042258,0.7474614235914522,-0.10642375740741578,0.018861825714109687,0.11596380874275067,0.07304325076101972,0.10896034982519053,0.10360034651678686,0.06314601759830268,0.7901258134095712,0.011288061016398654,-0.23157403879632524,-0.12832005562855345,0.7585230382526462,-0.04909909993998304,0.19458544755383503,0.08070453402774647,0.1234152084698003,-0.06781870790682398,0.6196056483555504,-0.04504954069033746,0.7542253388635943,-0.13253305075599214,-0.3069275909687016,-0.28956686252026825,0.1542820963553856,0.08159691565667701,-0.09504388800274705,-0.1998935734863203,-0.27770237316462404,-0.11446835766514435,-0.28315063723263256,-0.11198211401194308,-0.18690450187815472,-0.28492804807865424,-0.3098306258265314,-0.10696528191104696,0.08042467004506064,0.1372892403869342,-0.3440195500416003,-0.1894379645123518,0.06330412481847131,0.14018079580818638,0.7413673616734301,0.11456675718063816,0.10298056490375718,0.19300079123052621,0.6207018055065837,-0.09985182899046999,0.07864192814321426,0.14376406017489426,0.1583967039631569,0.18543648509954605,-0.38919777462858507,-0.1286194701532426,-0.27169219940359324,-0.1043959171171286,0.5344320052481887,-0.0277939832604176,0.7295875559410979,-0.10172580388184861,-0.3355316114236165,-0.1884235616979787,0.05047948740755606,0.0376094824933495,0.15176221800763406,0.10767408290683785,-0.36647359784898004,-0.13392669626045778,0.6516982219322851,0.03233865274754439,-0.2588303644761418,-0.171024614766752,-0.2347099308901457,-0.25956478464591093
means-MAP-list,0.1408547926054302,-0.023274901287827793,0.22179178464804056,-0.10994424807546396,0.11635738548883204,-0.017466300010351012,0.30726070244454695,-0.01624025233776187,0.07162357997959984,-0.05448226505223894,0.2521254416749126,-0.09667547715071,0.1348335697872996,-0.03910338675964081,0.31884358880953606,-0.08088802195304136,0.13255491738095354,-0.040888048375894645,0.31214834168424593,-0.1469404261519327,0.0669669840322776,-0.03794915771639072,0.27755743437637065,-0.13371461548605013,0.13212781136680884,-0.09000294846162119,0.26954520951674416,-0.08022849619962186,0.13915562991211394,-0.08465644582696989,0.30405687652058666,-0.0729045954929042,0.13418828572781544,-0.04153324900529069,0.2897572749306671,-0.08343839191898751,0.17606411523636106,-0.06706282656774873,0.2796796266339707,-0.10722980870538809,0.08939612742166195,-0.03574312548573885,0.2994786732590003,-0.10480428946494855,0.11292799446931813,0.006057366740004559,0.31742716181205183,-0.14116639382998802,0.12020531247644822,-0.04695592918563559,0.25030399445913515,-0.12854793100433654,0.024371718846705998,-0.06498480561555205,0.32542604689506927,-0.11544592200562107,0.06813492248136208,-0.03749230817077463,0.31179724955196353,-0.13784813931361808,0.07515553064778227,0.023731091034246553,0.28856320151112436,-0.10019896073112244,0.04776610503277101,-0.0668195662722108,0.3042525008194912,-0.08186954324302073,0.05742733327728734,-0.021911260511279614,0.2732834373905161,-0.07754012807672653,0.07923315241996917,-0.005347203568562067,0.347247515058663,-0.11787234527911222,0.13435479776730935,-0.04902045878646565,0.3189547470846943,-0.13572745324554422,0.04987055148390975,-0.025182444463321497,0.2799119148941837,-0.07359417455245201,0.14279374851989401,-0.08661234283071294,0.29603425782949244,-0.096649515348927,0.11700137513405863,-0.01979722403395338,0.28871864612352693,-0.12506916985727032,0.09341172042257577,-0.0324817059240044,0.2576369371327897,-0.14641143945163068,0.14374551984665815,-0.06761963605203464,0.2745247734089875,-0.10131117732037838,0.12493722348640185,-0.009941314970875768,0.30724608634499606,-0.1178786516762713,0.12164903445758475,-0.09223833949952229,0.2157700282352319,-0.11014520421263727,0.09578538481947368,-0.0074165431780724295,0.24597977351452405,-0.12953329961417628,0.09447735301575066,-0.04823516760486674,0.30629830561140625,-0.09161412701868799,0.14605437139566907,-0.03014153223169206,0.3295734552552203,-0.12372132983475152,0.09058729920805693,-0.07909062156442327,0.2682592650325696,-0.11002700904198186,0.06178397842002044,-0.08753558853995491,0.32363801753298865,-0.06017297292113828,0.13919813650860313,-0.022426626981256952,0.27355653933506363,-0.06693004749829456,0.11858075692690279,-0.07110982968089229,0.2458976086086055,-0.1405260491802455,0.0686669935830702,-0.08735652925292178,0.33556762802738827,-0.06903917188416259,0.10456305116716574,-0.008491172919375928,0.28704717373275773,-0.1358302928258052,0.08463238091589786,-0.08188861113390578,0.2954770624173819,-0.11937254744148335,0.08766424158421386,-0.024801358612861153,0.2584036272298095,-0.11641236661558926,0.07074727494943828,-0.012427264979767455,0.2937077707269871,-0.12029072694460595,0.07034972455061361,-0.0288422071277974,0.27404710266764887,-0.0798512162738718,0.1451184371956505,-0.05361296876406932,0.3061238887994533,-0.041907230532082826,0.14656313933496645,0.011757289664371229,0.2955222555306077,-0.07932263463813993,0.14111284100084148,-0.05758345721751544,0.2809872463357254,-0.16557727156357693,0.06520720618170915,-0.038638940629020284,0.2992914082581163,-0.08391850896652137,0.08691312037235527,-0.045739363545353906,0.26769926109632114,-0.10632504684045611,0.09968332505465087,-0.0821158139733883,0.2696498172038466,-0.13446979150808258,0.041055638737490824,-0.05614679279671782,0.2836629485371066,-0.09500418110063902,0.10553020494555321,-0.004664484054033566,0.2532555851092985,-0.03775641601569538,0.09919576290557404,0.05213378895844264,0.3057164823933963,-0.0907517343129432,0.06549441873413157,-0.02514925883026974,0.3018721640349396,-0.023170443333617424
