num-reruns,50
num-samples,4
dimension,2
data,-0.2725751171345087,-0.19771417421499757,-0.328001879132258,-0.11601448597811845,0.1364574224948174,-0.0025693965520026674,0.09664889070913091,0.12249732353978784,0.10160236334146996,0.03662673625335382,0.1422872807700926,-0.04870436321245583,0.6260623625681714,-0.06577240429643935,0.06699446479077462,0.026523116957440918,0.6100490358856822,0.029373049937302907,0.6953014747815492,0.11430822737293402,-0.4517585562278988,-0.3090052081055139,-0.3023395290431785,-0.16861800188540907,-0.18881901798757728,-0.23473776664976181,0.6537027796054068,0.04576895462934311,0.04985136242972199,-0.005665045171041508,0.17225857083036497,0.08890497726632698,-0.32916322038019236,-0.13426414348898785,0.11669660099782386,0.23877311453886066,0.05838182855384339,0.0764941763193876,-0.3071518773214559,-0.24439432221716265,-0.05996450186270247,0.14335837614014724,0.26388587666437086,0.07870380256495776,0.6483067967188553,-0.021637729064748097,0.6531338887676991,-0.17663643333176376,0.14911596703809848,0.2463121764530415,0.0527546323347683,0.2311006636208209,-0.26465361199275617,-0.12122874058171178,-0.34180516667814176,-0.09997275693318551,0.7058327609290762,0.035503485691336684,-0.27286995404529774,-0.1717625900285379,0.6931892891159266,0.00743682904581412,-0.0531474754275241,0.21452516886692624,-0.25176043878862187,-0.12912447678231193,0.712862133105777,0.02922908446905318,0.14455482957981267,0.2548140126883599,0.6825772092258152,-0.04661543174253758,0.1859267439630205,0.08285223494093158,-0.2612356829822475,-0.24685478247711357,-0.2872127735065597,-0.18954371361798752,-0.2957173251691068,-0.2657077096868797,0.6117571622474779,0.08583248246181507,0.726496938796824,-0.04244021043676484,0.09135192619378102,0.11900751294204143,-0.31625719977700334,-0.23758281233546774,0.713612346104776,-0.042888653247671764,-0.47354384318191867,-0.144227518329527,-0.21661072035122925,-0.28351186619834357,0.5845495733143409,-0.014205211046815895,0.10128879408122138,0.09403510920507295,0.1006947813913632,0.1658174803032113,0.06186846520684988,0.17287002363837833,-0.01393421499152081,2.388406513759156E-6,0.1853808718804489,0.07307289836429037,-0.21212445855876272,-0.25300387613268727,0.16862830271611762,0.18510442017557688,-0.2949170764400163,-0.22000987468274794,-0.2750874489419881,-0.2751344492553107,0.1575255918906528,0.19408543298026076,0.534086832859623,0.10136840582386424,0.6031147897923004,-0.06172938356818662,0.12569391340330172,-0.11256584755677032,0.1945228125923087,0.17766309578165018,-0.23997931000537667,-0.21317223887042258,0.7474614235914522,-0.10642375740741578,0.018861825714109687,0.11596380874275067,0.07304325076101972,0.10896034982519053,0.10360034651678686,0.06314601759830268,0.7901258134095712,0.011288061016398654,-0.23157403879632524,-0.12832005562855345,0.7585230382526462,-0.04909909993998304,0.19458544755383503,0.08070453402774647,0.1234152084698003,-0.06781870790682398,0.6196056483555504,-0.04504954069033746,0.7542253388635943,-0.13253305075599214,-0.3069275909687016,-0.28956686252026825,0.1542820963553856,0.08159691565667701,-0.09504388800274705,-0.1998935734863203,-0.27770237316462404,-0.11446835766514435,-0.28315063723263256,-0.11198211401194308,-0.18690450187815472,-0.28492804807865424,-0.3098306258265314,-0.10696528191104696,0.08042467004506064,0.1372892403869342,-0.3440195500416003,-0.1894379645123518,0.06330412481847131,0.14018079580818638,0.7413673616734301,0.11456675718063816,0.10298056490375718,0.19300079123052621,0.6207018055065837,-0.09985182899046999,0.07864192814321426,0.14376406017489426,0.1583967039631569,0.18543648509954605,-0.38919777462858507,-0.1286194701532426,-0.27169219940359324,-0.1043959171171286,0.5344320052481887,-0.0277939832604176,0.7295875559410979,-0.10172580388184861,-0.3355316114236165,-0.1884235616979787,0.05047948740755606,0.0376094824933495,0.15176221800763406,0.10767408290683785,-0.36647359784898004,-0.13392669626045778,0.6516982219322851,0.03233865274754439,-0.2588303644761418,-0.171024614766752,-0.2347099308901457,-0.25956478464591093
means-MAP-list,0.11614288419679432,-0.019231478142701548,0.02227733985456786,-0.12139439174012848,0.322488268346342,-0.13957069242128425,0.13351555267103343,-0.006210572301327898,0.2558053390973903,-0.07261003627942274,0.08952834687102104,-0.038221827853742917,0.26397259602709944,-0.16571550685350578,0.16442984852753895,-0.036147143086678914,0.24924818758944475,-0.07569615048619288,0.08207710995714002,-0.04861671024785123,0.22338057623494562,-0.07501360188100059,0.12617502933591912,-0.02111082472935838,0.2600530345345118,-0.2069655401147225,0.12774885030627534,0.0014114337294706472,0.2661009035393834,-0.1011796342533352,0.10500000733103965,-0.03623979138131093,0.3024707845713528,-0.08818709451217618,0.1703060920256043,-0.044061599374092694,0.3158920939973824,-0.05942825937708885,0.1343810499626211,0.019527978752700022,0.312106018865963,-0.0839288307769996,0.05371672365717134,-0.020022422401439928,0.3257171558827169,-0.06459398391952288,0.10526100536484351,-0.06794687678361577,0.24461745046865296,-0.08809399922406519,0.0973600484061047,-0.0667035404925313,0.31047728190078216,-0.11261081455376129,0.1572236955213827,-0.024181647712670697,0.319182293649352,-0.11253756468236507,0.06675276823407747,-0.0962241393552839,0.249726410992827,-0.07773547273404591,0.0802200712150796,-0.03847698957970293,0.29902553841808743,-0.05471814611865548,0.08382297585145443,-0.06205601857399172,0.261042492146842,-0.12049944072935377,0.14618449971625402,-0.02179661513657706,0.26886812628127404,-0.1664659096794398,0.13107632580515707,-0.08678754882155951,0.29767711461591045,-0.12457025065695251,0.11567858293252381,-0.09471394681762661,0.22176215847441721,-0.10138138276510411,0.12563561694143346,-0.05874353366813627,0.28272072840835033,-0.09715805523109346,0.05909040903489646,-0.05987792921092068,0.26931566734848944,-0.13335269416395282,0.14109354741503424,-0.06076957596964923,0.2972571066144346,-0.12271616364809275,0.0993458850365983,-0.06136964792269038,0.24690035511165823,-0.06298861936231086,0.09870713017498839,-0.06525171981045631,0.2659905442744245,-0.09063048440809894,0.09641311604361148,-0.03210078212938679,0.2849181573744315,-0.17136709077327816,0.09377820469848347,-0.044868393921777855,0.28842118892406293,-0.11585230518046513,0.10538479320643607,-0.01779905556712257,0.3534120770985147,-0.1455972350018001,0.06556610307093383,0.0332687966619443,0.28858948221790526,-0.12897106360321145,0.07393093965351165,-0.08064546772187181,0.27968864981897823,-0.07938179915914642,0.1222169802624177,-0.05635836841472794,0.27685921615326226,-0.1134743915179437,0.15242714618405673,-1.7940109751159172E-4,0.2776678927528488,-0.08264847528844266,0.09395576772131162,-0.03952811602064019,0.2689677930507327,-0.1015226576679128,0.08063556329149,-0.04842035459761159,0.3109508149713227,-0.10242226170613385,0.09140049775707439,-0.07562081246183441,0.2464495810100363,-0.14897522997203147,0.1513243026382669,-8.147449874554291E-6,0.2775382826430394,-0.17229533922523999,0.07513688141153729,-0.04678493628628888,0.29739612359834866,-0.1506132093543462,0.11679317163721817,-0.07653968445206734,0.317266822344254,-0.10121930524237961,0.12419118521315867,-0.06144306398684047,0.2781737025189916,-0.04536963064936465,0.0887724551576989,-0.059855422120938945,0.2397613666468985,-0.11192583419583428,0.15353454287252957,-0.0010623593714182214,0.2869324473895259,-0.12508479967448127,0.03268596430949601,-0.04414239271718498,0.341092302711135,-0.10160177502225985,0.09747748220240325,-0.02779234424270729,0.25552891489841295,-0.04076995731870116,0.17482307595475216,-0.07620833373212382,0.31224697873611856,-0.1440013495524946,0.13049306084989035,-0.07008604287098003,0.2816727322858216,-0.1076104897906348,0.1055557828296421,-0.017447296602780413,0.30163422651278377,-0.061535056905197345,0.05317740652365947,-0.031813202589236256,0.3223777344847813,-0.10437866518136941,0.11400678899418142,-0.05200396425054449,0.25962035922210913,-0.16733748620971103,0.10028940118639268,-0.060021592443226635,0.2743889823350114,-0.1435821132990289,0.06433520661670439,0.008259074431373171,0.2668091582392207,-0.08190957080985377
