num-reruns,50
num-samples,10
dimension,2
data,0.7815810342301658,0.14398478966888958,0.6971523858416634,-0.08731486669960825,-0.2153642136927823,-0.2365789299024562,-0.33252460865612027,-0.1341925186392811,-0.21035552293496157,-0.18181729502477414,0.14870446425662748,0.18965058706467103,0.7575924817202735,0.04669265978749398,-0.3092551637382874,-0.16965689515813528,-0.36616046553754533,-0.16785882618403858,0.7371616461628652,-0.022528181173707917,0.8234293907520642,0.04616634962737018,0.1011566668391492,0.14616022359428216,0.6629296250447332,0.018107497000362512,0.6340978727986242,0.03389232233741954,0.6863134071341072,0.13369159599009808,-0.4635153589812626,-0.2169014316582464,0.6631359422121046,-0.014492566198767778,0.7538169602648979,0.03341160270361481,0.15280609134059595,0.04227815260108342,0.026582338523804525,0.027043608281408338,0.6934290452853467,-0.08149928281707824,0.14833210145364442,0.03506967092220872,-0.2674874133927412,-0.16928696320720704,0.6285542060100076,0.08791174264244826,0.03080395761439038,0.19783935297695304,-0.4802053330482032,-0.15295289563253894,0.7508513125429233,0.0447803765619884,0.6575475901826612,0.06789912989721049,0.13536118481308743,0.0781438729286464,-0.2928696026358606,-0.22503489683680855,-0.241010088356587,-0.13905137463367326,0.09750723252604131,0.01884595143160482,0.19966172222876005,0.14511788067755815,0.6271025261234372,0.00978351302742385,0.7552195188696649,0.14502466500682273,-0.22098725643607536,-0.2025033721540827,0.004563498572425176,0.059202926552074174,-0.41250725115578063,-0.027083308079264706,0.8495320370377226,0.16658836425553766,-0.26785448915494825,-0.3419383683601469,-0.4007695288327845,-0.10567702789385164,0.07073971767041368,0.095976135628349,0.6355560202591608,0.1134490380672851,0.09631324719027025,0.21507067729374116,0.638111379343308,0.11439653585420172,-0.30799143329712325,-0.16679624906048518,0.1341716238242772,0.09919826987036903,0.026711416888131057,-0.03197504166269946,-0.3105070559431245,-0.13843501043718306,0.011229679914265878,0.11192312416350655,0.7266114503634684,0.06536282339251266,-0.26201277170241394,-0.23705681067355314,-0.3351693361121797,-0.2555450757398333,0.008952660205371263,0.19413833400138358,0.06260149665463738,0.17151966101124771,0.6705392004942599,-0.044941075187991335,0.039217519484908654,-0.030715369337067006,-0.3267970507873202,-0.25845848457630854,0.6973374630239304,0.0371315058359127,0.03481053044728451,0.12618627706602753,0.8918429024532434,0.01296894926790203,-0.29617398817809554,-0.06718576414435412,0.10810342362390911,0.12214225570539138,-0.1906863722132009,-0.12982049137063567,0.022348652461522525,0.12944557948746735,0.709195601897988,-0.05408677032808201,-0.28071521280790585,-0.287163487125767,0.1846211832255906,0.224654176168892,-0.3734169254256854,-0.15210156690371382,-0.2574698077164946,-0.23561844018763678,0.015103464537229744,0.13144682709141073,-0.3062359797309236,-0.3118429085918798,0.826115449422801,-0.03279431616990105,-0.28950898506662776,-0.18746674222292412,-0.13714455480332097,-0.1387429828649489,0.14768681551883883,-0.02720353919757143,0.6816256075642264,0.0037756469283746212,-0.3589891143640824,-0.11016759453690472,0.6864301356935018,0.14595241289791056,0.7033731105195777,0.1436439631888408,0.035523838759159335,0.04894877053651625,-0.429915177244803,-0.37762898743141315,0.1901135331002312,0.08357626829935236,-0.40208259590911055,-0.1819490241243027,0.710024770511342,-0.04192229311484883,0.7401158965135464,0.08660302504261237,0.013998153065695518,0.07495482095090417,0.6272876503845051,0.04578227370816825,0.5908714114234548,-0.0781717168403714,0.6492336050372152,-0.11643939772837425,0.6817471357275398,0.0490318068646006,-0.29817523509538063,-0.2022613439895827,0.01935644852502416,0.11981814546468969,0.6043889307238962,0.013600298021682373,-0.44549563263942266,-0.3665806760495235,0.09013754268222701,0.06687047440627938,-0.2612384122573291,-0.3120123655843081,-0.24424370482384114,-0.22109202508101855,0.6441126108853222,0.1206395080188496,0.27253051403336126,0.2675355015112395
means-MAP-list,0.08110054560067485,0.21954739620318622,0.24943986147528202,-0.5369344195596806,-0.3025508177337712,-0.5371813254850372,0.44525329398849434,-0.05959958646941595,0.35500804764057,-0.6066752683513779,0.8490465331345216,-0.021686452641303172,0.1667859279927639,0.2859088757951075,-0.14926007217590706,0.10271042210719986,0.2401749476327506,-0.03643794639303047,0.09076178953551782,0.3981740517896284,-0.15989073513155977,-0.021476608757320527,-0.23013523493089216,0.291375212245915,-0.4179788850464719,0.22036897003908482,0.49498835765074894,-0.22234892222500738,0.09332386861693542,-0.03232867067023865,-0.49654242419583,-0.07049874225082922,0.6773073639435231,-0.07610479006036089,0.044333489386898996,-0.1638617220297719,-0.06143213672452129,-0.18207472694945262,-0.2343237177887902,0.030206518449787972,0.31763792943687363,0.3074453236849642,0.04516956753869104,-0.5172391434237309,0.16530477528005733,0.5408915077919698,0.827616792891567,0.33078410147977455,0.4610274082801918,-0.21805792813501787,0.022895578351426447,-0.03239081932045276,0.11190820653227389,-0.023319190951773375,0.12331242797423962,0.007462735173031705,-0.6715711509659674,0.12443536113504447,-0.32292294338470806,0.5168673191654365,0.6468710145723867,0.3028129250088765,0.1010774499476653,0.42496858960993394,0.7864498059855227,0.1872661863942252,0.46798852233781457,0.5137156567922557,0.4324267818711407,-0.018813681976052453,0.04242420520754813,-0.08454582329618737,-0.0926417905753572,-0.042219765281097256,0.23888090371011303,0.14414301020549786,0.3023500233171086,0.38579808980027286,0.11330095194849395,0.041773091220689396,-0.2968776614780975,-0.04032520321434169,-0.1273989709434514,0.4946217583520128,0.5109541593667507,-0.17667177617791213,-0.6585340762299406,-0.04154950669826006,0.39303776690510517,0.042731163309174695,-0.388472195759008,0.1412050769093083,0.17322490784277791,-0.40902639861670353,0.08680155856745018,0.036943795740188225,-0.024930155095318856,-0.43570513510020825,0.2670983184749972,-0.3883258723918881,0.5531512254829112,0.21250751156103767,0.6235688107472938,-0.23495845025170992,0.11475051417453822,0.06303155522054547,0.20697202418234087,-0.011520139430610846,0.27253519807602117,0.4225623437045878,-0.10800301938051159,0.5847993694804176,0.6008734854270387,-0.44661016174112794,0.6399610188023722,-0.38852380832014066,0.2593855138520203,-0.006850699689013015,0.08222836432660431,0.2507845181723274,0.3142051527572281,0.008572268853746868,0.26714596802036517,-0.22309004189176285,0.7014281292012707,-0.3135811875414713,0.051944771033001436,0.03721982630829204,-0.21229804958986231,0.1688867963124679,0.04332854445007113,-0.2678967360613674,0.2773418393853179,0.01526155680182153,0.2290549776705375,0.3089886358661139,0.3227702485587127,-0.12066015002449977,-0.19397104164619772,-0.3109451356263533,0.10073014371323794,0.42733171573166223,0.6854819852724925,-0.34372481905652386,0.6025405140797807,-0.2680141992571289,-0.23449783618705816,-0.25522506389295657,0.9895838704067589,0.054890830140121624,0.4784917359121103,0.020189826722793878,0.07722495122334189,0.018291793450587165,0.31121622347454786,0.24813876287020828,0.21083565588495787,-0.46319325185854476,-0.12718792707769078,0.13772933783550242,-0.0156949065636727,0.24565683675168523,-0.06260291852979487,-0.3008739548156398,0.2859765511109221,0.1752317410526287,-0.744668365876625,-0.3000883462512137,0.16865398494918718,0.2874237494916528,-0.39305990004739405,-0.1482129025845765,-0.1434415930493614,-0.11336922218693528,0.07679838554119092,0.35849996625383485,0.24356853580332113,-0.33062504563523526,-0.16764600089391274,-0.5246911665060039,-0.29885432742373697,-0.2962455096287894,0.7777507400039698,0.2272331955098805,0.1587688227133026,-0.10577704244391213,0.35171626327200106,0.3288206872046257,0.46311719902366055,-0.27875746709504673,0.6510931591635565,-0.2533564702141119,-0.7691319359060068,-0.40810681743572563,-0.04917807968289933,-0.08064401536943405,-0.09316955130112387,0.22140126354570966,-0.15038670388366923,-0.4640174630504577,0.5149233713447667,-0.10157397840276201,-2.4705615727485093E-5,0.6921071279246803,-0.23684718574799293,-0.16199455604192942,0.23104415244554133,0.17035862815955688,0.4125994570558306,0.13801934301331487,0.0028909409959709557,-0.4511478401718885,0.08476726615424701,0.2833146511878732,0.4379164099496819,0.11649170139851187,0.6159893422512113,0.097912038002787,0.7200541244059903,0.18417588843464944,0.39052195495579933,0.09162605566472627,-0.46013886281461625,0.7893705405756565,0.17184407817105976,0.009159995672843,-0.34257378500680563,-0.15637560900113598,0.600192209441115,-0.38960628478870524,-0.15858794085970027,-0.018823762352113898,-0.2629371010197405,0.17665871434367234,0.23893991521978392,-0.26196824200959323,0.44256308564416724,0.30687215270402746,0.5747348374216238,-0.3066228933211034,0.10723641958285228,0.013436266551796038,0.475547332487191,0.08428023039963807,0.20848476465473592,-0.562165382508459,0.13213240103552243,-0.5976071986912987,0.5348417191785495,0.35192148611653534,0.40255886807643115,-0.15268010639219692,0.163319047586194,0.5236333820608413,-0.5356186795859754,0.4180268269895804,0.21443118974146025,-0.09855172059888859,-0.03804288748991122,-0.3479491553088789,0.4135850243791482,-0.06449238058990966,0.3392004741852978,0.3675793562182122,0.6368010423392855,0.10957359911137,0.46744172436996934,0.45878698817961755,0.23385539535860148,-0.1261884958861326,0.03141587778508379,0.41627793346285935,-0.6314703643985734,-0.15986576352527215,0.5535719042485517,0.2116699468458178,-0.13069334085729714,-0.2776823203591608,-0.14058355066262565,0.3329622957573853,-0.15952680098578323,-0.3344236595290561,0.6455932935737337,0.12596772349981714,0.7844696950632305,-0.1131598536276895,0.12263304159265931,0.21328589488349345,0.27854402072707923,0.20481718357147413,0.7027103519662424,0.13053667406486708
