num-reruns,50
num-samples,3
dimension,2
data,-0.2725751171345087,-0.19771417421499757,-0.328001879132258,-0.11601448597811845,0.1364574224948174,-0.0025693965520026674,0.09664889070913091,0.12249732353978784,0.10160236334146996,0.03662673625335382,0.1422872807700926,-0.04870436321245583,0.6260623625681714,-0.06577240429643935,0.06699446479077462,0.026523116957440918,0.6100490358856822,0.029373049937302907,0.6953014747815492,0.11430822737293402,-0.4517585562278988,-0.3090052081055139,-0.3023395290431785,-0.16861800188540907,-0.18881901798757728,-0.23473776664976181,0.6537027796054068,0.04576895462934311,0.04985136242972199,-0.005665045171041508,0.17225857083036497,0.08890497726632698,-0.32916322038019236,-0.13426414348898785,0.11669660099782386,0.23877311453886066,0.05838182855384339,0.0764941763193876,-0.3071518773214559,-0.24439432221716265,-0.05996450186270247,0.14335837614014724,0.26388587666437086,0.07870380256495776,0.6483067967188553,-0.021637729064748097,0.6531338887676991,-0.17663643333176376,0.14911596703809848,0.2463121764530415,0.0527546323347683,0.2311006636208209,-0.26465361199275617,-0.12122874058171178,-0.34180516667814176,-0.09997275693318551,0.7058327609290762,0.035503485691336684,-0.27286995404529774,-0.1717625900285379,0.6931892891159266,0.00743682904581412,-0.0531474754275241,0.21452516886692624,-0.25176043878862187,-0.12912447678231193,0.712862133105777,0.02922908446905318,0.14455482957981267,0.2548140126883599,0.6825772092258152,-0.04661543174253758,0.1859267439630205,0.08285223494093158,-0.2612356829822475,-0.24685478247711357,-0.2872127735065597,-0.18954371361798752,-0.2957173251691068,-0.2657077096868797,0.6117571622474779,0.08583248246181507,0.726496938796824,-0.04244021043676484,0.09135192619378102,0.11900751294204143,-0.31625719977700334,-0.23758281233546774,0.713612346104776,-0.042888653247671764,-0.47354384318191867,-0.144227518329527,-0.21661072035122925,-0.28351186619834357,0.5845495733143409,-0.014205211046815895,0.10128879408122138,0.09403510920507295,0.1006947813913632,0.1658174803032113,0.06186846520684988,0.17287002363837833,-0.01393421499152081,2.388406513759156E-6,0.1853808718804489,0.07307289836429037,-0.21212445855876272,-0.25300387613268727,0.16862830271611762,0.18510442017557688,-0.2949170764400163,-0.22000987468274794,-0.2750874489419881,-0.2751344492553107,0.1575255918906528,0.19408543298026076,0.534086832859623,0.10136840582386424,0.6031147897923004,-0.06172938356818662,0.12569391340330172,-0.11256584755677032,0.1945228125923087,0.17766309578165018,-0.23997931000537667,-0.21317223887042258,0.7474614235914522,-0.10642375740741578,0.018861825714109687,0.11596380874275067,0.07304325076101972,0.10896034982519053,0.10360034651678686,0.06314601759830268,0.7901258134095712,0.011288061016398654,-0.23157403879632524,-0.12832005562855345,0.7585230382526462,-0.04909909993998304,0.19458544755383503,0.08070453402774647,0.1234152084698003,-0.06781870790682398,0.6196056483555504,-0.04504954069033746,0.7542253388635943,-0.13253305075599214,-0.3069275909687016,-0.28956686252026825,0.1542820963553856,0.08159691565667701,-0.09504388800274705,-0.1998935734863203,-0.27770237316462404,-0.11446835766514435,-0.28315063723263256,-0.11198211401194308,-0.18690450187815472,-0.28492804807865424,-0.3098306258265314,-0.10696528191104696,0.08042467004506064,0.1372892403869342,-0.3440195500416003,-0.1894379645123518,0.06330412481847131,0.14018079580818638,0.7413673616734301,0.11456675718063816,0.10298056490375718,0.19300079123052621,0.6207018055065837,-0.09985182899046999,0.07864192814321426,0.14376406017489426,0.1583967039631569,0.18543648509954605,-0.38919777462858507,-0.1286194701532426,-0.27169219940359324,-0.1043959171171286,0.5344320052481887,-0.0277939832604176,0.7295875559410979,-0.10172580388184861,-0.3355316114236165,-0.1884235616979787,0.05047948740755606,0.0376094824933495,0.15176221800763406,0.10767408290683785,-0.36647359784898004,-0.13392669626045778,0.6516982219322851,0.03233865274754439,-0.2588303644761418,-0.171024614766752,-0.2347099308901457,-0.25956478464591093
means-MAP-list,0.05867463814543826,-0.11149394407357986,0.19333749455513657,0.1194688641209072,-0.25261520224279843,-0.059014410771991904,0.03497056911832568,-0.4365655773608071,-0.47245931156890575,0.6024098590741964,-0.025973787818831216,-0.009806386021046394,-0.3127361291994844,-0.3063941216664736,-0.5224524754552451,0.03233824706025021,-0.3884797023536567,0.5422806755224181,0.7830961022343679,0.05543381247062762,-0.22249483645220108,0.05147141726634763,0.3277748198149826,0.003545621525206112,-0.0954626621455376,-0.1908544957851867,-0.08222018812202375,0.3788365602046846,0.3833780689319326,-0.20236063854357214,0.5144048804238774,0.0472042716016319,0.14148980775344336,0.04276396361382252,0.15822308672394342,-0.17521133057638777,-0.249701511538507,0.16048675402315735,-0.6114078205146558,0.2934513083798179,0.6031171171896416,0.5340485705398176,0.08963717216429619,0.02716382038497114,0.12411192560542192,0.198227210838161,-0.5633303156083855,-0.36551643017062413,0.6617936701638619,0.44941698470317404,-0.21116805568808014,-0.03852245202689845,-0.14140615580538574,-0.30567615596341385,-0.2181647857038872,-0.2643014611498848,0.4488038342500216,0.5055726400825392,0.14334223679669844,-0.09563594533414747,-0.11083712908358906,-0.16239863373165211,-0.028297121638778254,-0.3196998602594014,0.426581578636736,-0.040482677624211774,-0.17205998780299095,-0.2537468632329356,0.37758438635432945,-0.04940508635044881,0.36472282104094694,-0.3990055094946347,-0.11800075150842354,0.13496277378380034,0.15563000411335493,-0.1741698731954113,0.02296425119333422,0.5480432604511499,-0.6047450045558648,-0.5097362785112659,0.03706191705029725,0.02029563661285396,0.4451837296352826,0.034017007770215754,0.10127292993312255,0.03721963785986136,0.07457301681190763,-0.24431471669254978,0.4360979156837304,-0.02790685207144221,-0.015465205815169388,-0.01917505378833421,-0.0970613382056242,0.039919093063307536,0.04228808547069094,-0.31501572534001004,0.36262512089456556,-0.28969048218214677,-0.5147110153375826,-0.29612753455000723,-0.33141289359180726,-0.13660898622743753,-0.23239987461569026,-0.16683316699933287,-0.4783490123111353,-0.08635583312728737,0.3797163169343614,0.4176105617770674,-0.3669234562616766,-0.21484214187072118,0.020371096770782665,-0.010524525207225329,0.15168297374066278,0.20055732116350317,0.25358717585045815,-0.22139196549526147,-0.34433204311664933,0.061750194198422016,0.499892389873478,-0.02584527366251506,0.067029666786945,0.04144433204498205,-0.15684745937793726,0.1456248628294251,-0.24618865196111178,0.15582481781371757,-0.22177685334379077,0.2514398245890528,0.3085250716152557,0.17059616314359083,-0.1901606105430964,-0.11615067542014143,-0.08962542034161901,0.07005534801297314,0.11049489114639655,-0.09552868388384024,4.925880234775833E-4,-0.20413327638422127,0.3948903117174997,-0.3623101837121833,-0.5225412631273431,0.12347792332816526,0.08588348071592204,0.10166358694052549,-0.12989355484568002,0.15175576207677968,-0.3282700724948558,-0.09477258652108869,-0.312701522204586,-0.1703040287313493,-0.477095951252466,-0.20372243006260238,-0.392493024274462,0.12482210050676935,0.09660622557637438,0.07564452672133966,-0.1873683020104125,-0.22629563984563314,-0.20979312105291878,0.04354286438141118,0.23889234108298546,-0.13955901151648303,-0.06028579251649658,0.46089115216049076,-0.5755861678208517,-0.008363643299933572,-0.1883187207393922,0.056587486657284025,-0.38586978278178174,-0.11298445049718167,-0.3013911046655057,0.39850186403201543,0.03460056843490754,0.020147588302118744,-0.08653679098726384,-0.2865883059860556,0.06064218011379179,-0.38629850865200743,0.5237819906106764,0.04575404892118356,0.27881766538455816,0.09931308414198474,-0.3757728881018501,0.45542173074756653,0.04020394275829667,0.03127677876258893,-0.3157250294924565,0.03469731252745142,-0.06933108148945734,-0.4788224609711341,0.023161132975303783,0.5641690016442735,-0.39608698173318857,0.5556936830815964,-0.00728767864325849,-0.2398557208400449,0.08314016403786255,-0.16992770862091083,0.274089694218862,0.4432571967102085,0.1147611621910428,0.053983592141507344,0.26594426929191806,-0.0825851037418192,-0.2922115348537072,-0.28334921318791173,-0.3503565076333119,0.2685733768949122,-0.5297597594463785,0.29834453266937294,0.30102427007112287,0.10755238564825245,-0.388056863841701,-0.2752738204037983,-0.5436487320821765,-0.5618883555704236,-0.051660204044718314,-0.07913894310022154,-0.15110056550751436,-0.016567402943442302,0.7179337759151161,-0.31031387281763695,0.04256970682474135,-0.0711494920217283,0.06691436329442094,-0.20523415786136393,0.31725512576336035,-0.05043128698743186,-0.08120370841377453,-0.3836164962592905,-0.07716655985539161,0.47142524728602475,-0.3406917687382503,-0.40178187732138887,-0.5181681039397034,0.18439507768670688,-0.17181731957825827,-0.2663432270157338,-0.076499784005802,-0.1874048662158433,0.1786241771305576,0.26609386356517445,0.0806087230650292,-0.1495870077296609,0.12166477737911309,-0.15854501555245318,0.37524365762918216,-0.13307478125057742,-0.009690357468099015,-0.4944257965457381,-0.238271692092645,-0.059241004203254136,-0.05213694259378768,-0.00939894446440429,-0.10465907002572107,-0.12029894550661889,-0.14197087146689566,0.16174672702158854,0.08106964614822668,0.48126380093613186,0.5975742827288002,-0.15308850679856048,-0.2817734390689259,-0.40578392078818876,-0.09944217856998654,-0.14618879700487014,0.252172642677529,-0.3694352828155347,-0.266881692312675,-0.48281725152650395,-0.24099538544680493,-0.17795913860755908,-0.321812612804875,-0.09617016245941838,0.077998488060161,0.41575014571095126,0.506301000424767,-0.018724502572531693,-0.1282255811463935,-0.14219627909524737,0.15735825231772932,-0.6655894345126886,-0.4588287977764832,0.4309837055137041,-0.16289305674321222,-0.16562367643258097,-0.058478191385807766,-0.08248147650658282,-0.2707301441293558,-0.13245213373293432,0.3064113952062712,0.4055267128085274,0.5707229745933907,-0.07594402459018956
