num-reruns,10
num-samples,3
dimension,2
data,-0.22735308325736206,-0.16832978275866797,-0.31077803041230617,-0.23882810716513642,0.11807285275481293,0.23066961732633054,-0.3405253770549242,-0.2512851852259557,0.7651153880977375,-0.10092841965503312,-0.2206715512237399,-0.23133930659306828,0.8153680164861472,-0.03559330441367355,-0.3189321688707334,-0.20017091585279106,-0.19014581988738646,-0.22462895356547327,0.03190184508907007,0.18425647261208045,-0.3895029612408438,-0.2694727321536652,-0.03445402648726592,0.1205073346586934,0.3111802086704023,0.08840360713129795,0.12007883967240307,0.11729173267831625,0.7020007357202365,-0.0222334231135322,-0.33696703441101217,-0.10217475115158149,0.7457578536018814,0.06020508299866862,-0.030423162152700772,0.1802030837556655,-0.41752257151335775,-0.17818408368525374,0.7894489347616588,0.11211705662663034,0.6850876431410181,3.9767748572377515E-4,0.7504652393915042,-0.04596390705001588,0.6029004075847604,-0.08753640926813237,0.038973667324548066,0.11255160631893806,0.0027369182457721436,0.10088551739774952,0.6613111187243546,-0.0992802206740427,0.7132996935242787,0.08609069007278615,0.7492071878163709,-0.12824965206802652,-0.16438140649529828,0.12544305746853315,-0.4101657617004215,-0.18316410133806396,-0.3476716100139868,-0.19152889916082871,-0.28202357845178383,-0.1973812186899169,0.6207359471132706,0.09625476143447893,-0.2922524313500108,-0.1836423735452079,0.030436796931870333,0.1348039504209727,-0.2795325236353591,-0.18761211548656542,0.16320410408505193,0.15121694506004732,-0.25000057689569405,-0.2810000889873558,0.1917353301649824,0.1930311128750884,0.74369783453729,-0.08646822598092656,0.64378788230314,-0.007676854177710205,0.7845213060858713,0.004899381037456022,-0.2926425227629841,-0.1770900794244593,0.7396471720903731,-0.011693839778780293,0.6115837354649574,-0.025607902743347198,0.6833345422586238,-0.010679151247139682,-0.24916013810469378,-0.24631759788700977,0.11364108444945538,0.0918593618384603,0.09484580701726521,0.0850697855897242,0.6183456654467018,-0.12049477525885906,0.16896601743213385,0.12530133828443352,0.6428301868156087,-0.10086836184313692,0.1513500246495914,0.15355562284023705,0.1611671429075399,0.119553685089208,0.655798129302625,-0.08615435250718168,0.7756971313801235,0.0851177171406234,0.04979353273380806,0.19961129820901283,0.15081109491621175,0.19838227710950956,0.005684578085342659,0.15910586911359081,0.6765309156319886,-0.012964733700966924,0.16174078439846185,0.10600990594921068,0.15339262163496395,-0.041923426720827134,-0.3108447887941308,-0.2722739780376504,0.11291786548941174,0.12415771811885465,0.6841753695947538,-0.003822400464536921,0.6555977017945575,0.036888365955801763,-0.2822384352756065,-0.26719866485846333,0.054270482851538036,0.12519994163244544,-0.390505995191949,-0.14603092153807853,-0.3059419091982256,-0.24599423478255888,-0.30314323772110585,-0.15614530497044474,0.006667839906475029,0.0964012803879801,0.22905619171383199,0.14703373255836774,0.6708310264817755,0.03895774354312733,-0.2900294994167952,-0.21133037835830248,0.13143002987571822,0.20290062752953636,0.6676760907412627,-0.0360485825882323,-0.3959958247643416,-0.2562226532955798,0.054744416057335474,0.12591279098134395,0.6833707285799248,-0.06248905811022053,0.0896223814514825,0.027312077886238226,0.6981092142192421,0.02998500373028249,0.2507962510937264,0.08495890445690682,-0.37334382941743594,-0.18371401036429874,0.13799407851954537,0.16387007816211732,0.8982744775034607,0.1191892247949572,0.749543157632358,0.028106975230326212,-0.21890365944907286,-0.10086164161763642,0.752648918166825,6.174176922236719E-4,-0.22086359917407994,-0.14572962357420444,-0.010751233914917599,-7.244872111010631E-4,0.15203436798025916,0.05610220459299604,0.660894569033452,0.05160977170949714,-0.30795332809054926,-0.24507365693971833,-0.3631385763476423,-0.10988372475626612,0.04215761585424142,0.15637876954462934,0.05059792077593358,0.10587111963734085,0.7022383970849483,0.02148520884684553,-0.2546353600308351,-0.16442710395492333,0.10856299048993281,0.14233473739637315
means-MAP-list,0.38265831950419515,-0.026567541535788424,0.42385934525683716,-0.20296635743082528,0.028304772311845416,0.5425800404980782,-0.12577770545621145,-0.03950410335313226,-0.15453936360718018,-0.09740913344897337,0.39878651394398595,-0.007747203588089544,-0.13374691374600586,-0.17547725678051918,-0.359411543031914,0.04031553834578402,-0.2596709975322969,0.48905386769690357,0.025505268056864774,-0.1303900110556981,-0.01676125656050521,-0.22523447499747792,-0.293632875372951,0.4884575157928329,-0.2087738129246612,0.03603405070850584,0.015118920205183245,-0.3467525219463849,-0.047895412303383504,0.7980635991098177,0.10266988501401572,0.07874713672288369,-0.10248196510601047,0.10396828069880987,0.20490414393836687,0.11797363358020933,0.014735667959715919,0.05786090682887503,-0.4212637753557251,-0.23665229844526092,-0.1411143587628875,0.4947358229674954,0.10887191809003818,0.014877209890994858,-0.3535999896834393,0.13893735873581345,0.3472947530611897,-0.16731787495780834,0.015191767333400316,-0.05874075130494474,-0.08328914011037934,0.06294474088600106,0.2966977146418765,0.3422961087783966,-0.37024960342064955,0.005416997203694309,0.37450666822004297,-0.05525757103297449,0.4540427089597718,0.05565330843437145
